#Scalefactor 1.0
Query  BerlinMODOBA  BerlinMODTBA  NetworkOBA  NetworkTBA
  1          0.226        0.166         0.185       0.215
  2          0.005        0.004         0.019       0.004
  3          0.745        0.845         0.845       1.323   
  4        149.167      427.583         1.145      31.879
  5          3.029        5.821         4.781       5.277  
  6       1463.214     5110.613       381.622     263.371 
  7         84.660       50.575       124.602     169.848 
  8          0.890        0.557         0.258       0.303
  9        830.253     3153.720       120.470     156.693
  10      4414.632     2015.096      2786.578    1791.941 
  11         0.656        0.914         6.030       7.738  
  12        36.210        0.213         0.274       0.267 
  13       119.685       94.366        29.126      36.086
  14        10.912        3.915        36.041      38.552
  15        30.874       18.711        10.317       7.989 
  16        82.242        8.655         0.584       1.969 
  17        82.242      343.826         0.550       8.026  

